"content","id"
"visite premier ministre thaïlandais srettha thavisin paris mai a moment stratégique développement relations entre deux pays déclaration commune deux dirigeants affirment volonté renforcer relations bilatérales mettant accent particulier aspects économiques culturels sécuritaires veille sommet choose france thaïlande france souligné volonté d’accroître coopération l’attractivité investissements respectifs deux nations concernant transition écologique partenariats perspective notamment l’ambition srettha thavisin faire pays centre régional production véhicules électriques tourisme échanges culturels jouent rôle important discussions notamment projets célébrer anniversaires significatifs relations diplomatiques entre deux pays thaïlande espère attirer plus visiteurs internationaux particulièrement français facilitant l’accès visa courts séjours initiative susceptible revitaliser économie touristique encore fragile après pandémie avancées notables domaines sécurité défense l’aérospatial également souligner face situation catastrophique birmanie france a renouvelé soutien thaïlande affirmant engagement stabilité réponse humanitaire région emmanuel macron a aussi exprimé accord vision premier ministre thaïlandais être entraînés jeu puissances indo-pacifique discussions également abordé enjeux mondiaux majeurs tels tensions ukraine proche-orient où deux pays exprimé soutien trêve olympique visite symbolise seulement renforcement liens économiques politiques aussi engagement commun envers valeurs coopération internationale développement durable soulignant l’importance stratégique relation contexte géopolitique mondial évolution savoir plus vote évaluation l'article","Visite du Premier ministre thaïlandais : des avancées importantes"
"avril dernier jalon a posé l’avenir défense européenne discours crucial sorbonne dit sorbonne ii président république a dévoilé vision audacieuse transformative a l’europe mettant lumière nécessité d’une union plus forte plus intégrée sécurisée vision renouvelée souveraineté européenne cœur discours sorbonne trouve appel renforcer souveraineté européenne souveraineté définit seulement termes capacités militaires aussi termes capacité innover produire décider propre destin monde plus plus interconnecté complexe retour guerre sol européen ainsi récentes crises qu’elles sanitaires économiques sécuritaires montré dépendance vis-à-vis l’extérieur notamment secteurs stratégiques tels technologie équipements défense contrer dépendance proposons consolidation l’industrie défense européenne soutenue augmentation significative recherche développement technologique territoire initiative permettrait non seulement sécuriser approvisionnements équipements essentiels aussi stimuler économie créer emplois hautement qualifiés président république a notamment souligné l’importance l’europe développer propres capacités défense aérienne antimissile mettant avant démarche vers autonomie stratégique matière défense a plaidé réduction dépendance vis-à-vis états-unis pointant raison changements priorités politique étrangère américaine pourrait manifester création l’europe propres systèmes défense antimissile exemple développement déploiement système anti-missiles mamba initiative conjointe entre france l’italie déjà opérationnelle ukraine système représente vers europe capable défendre territoires dépendre autant technologies systèmes non européens initiative s’aligne vision plus large d’une europe capable défendre propres ressources capacités stratégiques coopération matière défense impératif stratégique l’un points saillants discours a l’accent mis coopération entre états membres l’union européenne proposition création d’une force réaction rapide européenne particulièrement pertinente force permettrait l’europe répondre agilité efficacité crises internationales tout démontrant solidarité capacité défendre intérêts communs parvenir nécessaire surmonter défis logistiques politiques notamment concerne l’harmonisation politiques défense mutualisation ressources militaires impliquera changements significatifs manière dont décisions défense prises sein l’union nécessitant confiance coordination accrues entre nations membres s’agit occasion reconnaître passage monde multipolaire tout soulignant l’importance l’autonomie stratégique européenne autonomie doit être interprétée comme repli comme capacité accrue agir manière indépendante tout restant ouverts coopération d’autres grandes puissances stratégie vise placer l’europe tant qu’acteur équilibré respecté scène internationale capable défendre valeurs tout promouvant paix stabilité mondiale défis relever opportunités saisir bien sûr mise œuvre d’une telle vision n’est obstacles défis institutionnels financiers politiques considérables instituer défense commune plus intégrée nécessite volonté politique ferme tous états membres ainsi mécanismes financement innovants soutenir investissements défense technologie l’avenir défense européenne pourrait également envisager intégration plus poussée politiques sécurité intérieure stratégies défense extérieure signifie meilleure coordination entre forces police nationales agences renseignement armées répondre menaces transnationales telles terrorisme cybercriminalité traite êtres humains sein société civile traduit l’importance l’éducation formation renforcement défense européenne essentiel d’investir formation forces armées aussi sensibiliser jeunes l’importance sécurité défense monde complexe pourrait traduire programmes éducatifs spécifiques partenariats entre universités instituts recherche institutions militaires initiatives sauraient développer outils communication efficaces effet vision défense européenne pleinement réalisée impératif d’impliquer citoyens européens communiquer activement enjeux bénéfices d’une défense commune soutien public fondamental légitimité pérennité initiatives défense requiert transparence décisions communication claire contributions chaque état membre ainsi avantages sécurité bien-être citoyens européens au-delà aspects institutionnels financiers discours sorbonne a également mis avant nécessité d’une approche globale inclusive défense européenne inclut renforcement liens partenaires stratégiques au-delà frontières européennes ainsi développement nouvelles technologies défense telles l’intelligence artificielle cybersécurité technologies représentent seulement outils défense aussi vecteurs croissance économique d’innovation appel l’unité l’action discours sorbonne appelle donc réflexion profonde action concertée europe plus sûre plus influente tant députée profondément engagée poursuivre objectifs travaillant collègues parlement tous citoyens français temps transformer ambitions actions concrètes bâtir ensemble l’avenir défense européenne moment opportunité l’europe démontrer capacité innover protéger affirmant ainsi place monde rapide évolution essentiel tant responsables politiques citoyens prenions part mouvement garantir europe forte unie résiliente finalement renforcer défense européenne doit seulement être perçu comme nécessité face menaces aussi comme engagement envers paix stabilité développement durable l’europe a responsabilité unique promouvoir valeurs l’international agissant non seulement force aussi diplomatie l’aide humanitaire soutien développement votes évaluation l'article","Vers une nouvelle ère de la défense européenne"
"avril emmanuel macron s’est adressé l’europe monde depuis l’amphithéâtre sorbonne offrant vision ambitieuse détaillée l’avenir l’union européenne discours dit sorbonne ii a mis lumière série propositions visant renforcer l’unité l’efficacité l’europe monde mutation constat clair l’europe bien qu’unie reste vulnérable crises multiples connaissent frontières pandémies changements climatiques instabilités économiques menaces sécuritaires répondre devons œuvrer europe plus intégrée réactive capable mobiliser rapidement ressources coordonner efficacement actions vision implique renforcer mécanismes existants tout explorant nouvelles voies coopération notamment matière santé publique réponse crises environnementales cap souveraineté économique technologique souveraineté économique cœur projet d’emmanuel macron dernier soulignant nécessité l’europe protéger industries stratégiques tout prenant leadership technologies demain faire apparaît essentiel procéder l’établissement pôles technologiques européens augmentation significative investissements recherche l’innovation parmi points clés l’accent nécessité renforcer résilience économique l’europe biais l’innovation technologique l’infrastructure numérique a appelé investissements majeurs secteurs l’intelligence artificielle blockchain technologies propres essentiels maintenir compétitivité l’europe initiatives visent non seulement stimuler croissance économique aussi positionner l’europe l’avant-garde révolution technologique mondiale parallèle apparu fondamental souligner l’importance développer modèle économique durable respecte limites environnementales planète comprend l’investissement énergies renouvelables promotion d’une économie circulaire permettrait réduire dépendance énergies fossiles diminuer l’impact environnemental plan vise non seulement sécuriser indépendance technologique également positionner l’europe comme compétiteur global domaines clés tels l’intelligence artificielle technologies vertes initiative saurait passer d’investissements massifs l’éducation mobilité jeunes autrement dit l’avenir effet force constater l’avenir l’europe dépend potentiel cultiver mobiliser jeunes talents proposition tripler budget programme erasmus particulièrement notable visant étendre opportunités mobilité éducative renforcer liens interculturels entre jeunes européens mesures perçues comme essentielles forger identité européenne commune dynamique capable transcender diversités nationales renforcer sentiment d’appartenance europe unie autonomie capacité défense européenne l’autonomie stratégique matière défense réaffirmée vigueur président propose entre autres augmentation budgets défense nationaux sein l’ue encourage collaboration développement systèmes d’armement européens inclut aussi coordination politiques défense former stratégie commune permettant l’europe répondre manière autonome crises sécuritaires dépendre excessivement partenaires extérieurs savoir plus projet défense européen bien sûr défense efficace doit avoir comme socle système démocraties solides résilientes sens emmanuel macron propose exemple modifications substantielles augmenter transparence responsabilité sein institutions européennes réforme processus électoral européen renforcement pouvoirs parlement européen axes majeurs initiative changements visent rapprocher l’union citoyens rendant décisions plus compréhensibles améliorant participation démocratique tous niveaux défis question migratoire nécessité parler d’une voix commune abordant l’un sujets plus divisifs europe président a proposé politique migratoire équilibre solidarité responsabilité entre états membres mettant avant nécessité systèmes migration légale plus robustes meilleurs chemins d’intégration réfugiés migrants tout renforçant sécurité frontières l’europe lutter contre l’immigration illégale l’ambition affichée concilier gestion flux migratoires respect droits l’homme stabilité sociale europe effet gestion efficace équitable migration essentielle non seulement cohésion sociale aussi sécurité prospérité économique l’union européenne autre défi auquel l’europe doit faire face culture souveraineté pilier construction d’une europe forte indépendante nécessaire d’envisager europe autonome capable protéger intérêts d’exprimer valeurs scène mondiale signifie développer autonomie stratégique secteurs clés énoncés plus haut comme défense technologie l’énergie afin plus dépendre autres puissances mondiales également l’appel politique fiscale unifiée stratégie défense partagée apparaissent cruciales permettre l’europe répondre efficacement crises internationales positionner comme acteur influent proposition d’une voix diplomatique unie reflète nécessité d’une europe capable parler d’une seule voix affaires mondiales renforçant ainsi position négociations internationales forums multilatéraux plus qu’un discours sorbonne ii appel europe plus forte plus unie plus résiliente plus proactive tant députée fais l’écho ambitions convaincue nécessité assurer prospérité sécurité collective c’est projet demande courage innovation foi renouvelée l’idéal européen ensemble devons œuvrer transformer propositions réalités tangibles bien tous européens votes évaluation l'article","« Sorbonne II » : les aspirations d’Emmanuel Macron pour l’Europe"
"france confirme place pays plus attractif d’europe investissements étrangers cinquième année consécutive selon baromètre annuel cabinet ey près projets d’investissements étrangers annonces projets d’investissements étrangers l’année écoulée france devance royaume-uni compte l’allemagne bien nombre projets baisse an investissements étrangers créé l’an passé plus d’emplois qu’en total rapport l’année précédente parmi emplois créés plus liés projets industriels place france premier plan européen domaine détail baromètre ey dénombre projets d’extensions d’implantations d’usines annoncés france total a plus doublé rapport investisseurs étrangers louent notamment qualité main d’œuvre française l’environnement juridique réglementaire ainsi fiabilité infrastructures résultats ceux d’une politique économique volontariste menée depuis s’incarne notamment politique fiscale attractive investissements l’innovation france simplifications réglementaires stratégie claire termes production d’énergie décarbonnée transition écologique édition sommet choose france depuis lancement chef l’état sommet choose france s’est imposé comme rendez-vous économique annuel incontournable l’agenda industriels investisseurs internationaux permet valoriser l’ensemble territoires atouts français auprès chefs d’entreprises partenaires étrangers chaque année l’occasion d’importantes annonces construction d’extension projets l’occasion édition gouvernement a annoncé record projets d’entreprises montant d’investissements étrangers milliards d’euros perspective emplois créés vont déployer toutes régions france métropolitaine entreprises japonaises chinoises indiennes sud-coréennes notamment participé annonces montant milliard d’euros placée sous thème france terre champions nouvelle édition faisait directement écho tous grands événements marqueront l’année notamment jeux olympiques paralympiques met l’honneur fiertés françaises incarnées campagne make it iconic savoir plus vote évaluation l'article","La France est le pays le plus attractif d’Europe pour la 5ème année consécutive"
"mai j’ai présenté devant commission défense forces armées conclusions mission parlementaire j’ai menée co-rapporteur député bastien lachaud re voir présentation rapport constat clair conformément lettre cadrage adressée novembre président commission défense nationale forces armées rapport portait rôle l’influence france l’otan clair guerre ukraine a mis lumière rôle central l’otan défense territoriale l’europe effet l’alliance atlantique a réagi promptement s’est élargie nouveaux membres tout adoptant nouveau concept stratégique rapport mentionne également france occupe position singulière l’otan position a toujours conféré grande influence renforcée depuis retour commandement militaire intégré singularité due capacités militaires opérationnelles uniques incluant armée d’emploi dissuasion autonome donnant france rapport non existentiel l’otan marqué histoire complexe ponctuée revirements politiques grâce position unique france peut défendre intérêts politiques militaires industriels influence demeure insuffisante bien perçue comme puissance militaire crédible rôle roumanie flanc l’otan apprécié indépendance comportement franc-tireur engendrent suspicion persistante quant sincérité engagement l’otan enfin france doit surmonter plusieurs défis devenir allié exemplaire sein l’otan premier défi l’interopérabilité malgré risques financiers industriels ressources humaines deuxième défi devenir moteur coopération ue-otan actuellement bloquée malgré fort potentiel troisième défi concerne l’unité sein l’otan malgré divergences perception hiérarchie certaines menaces russe chinoise quatrième défi l’absence stratégie française l’otan stratégie crédibilité anticipation trois objectifs france l’otan défendre france siècle peut faire qu’en coalition face menaces métamorphoses guerre contexte géostratégique incertain l’otan n’a jamais aussi cruciale france l’europe réciproquement l’otan offre france garantie défense amplifiant puissance armées compromettre indépendance ainsi france n’a rien perdre s’impliquer davantage l’otan tout perdre faisant contraire c’est j’appelle pari otanien objectif court terme élaborer stratégie claire l’otan france doit développer stratégie sein l’otan allie défense intérêts solidarité alliés l’otan central défense collective l’europe car l’autonomie stratégique européenne n’est réaliste court terme force constater l’otan impensé stratégique politique défense française faut désormais vision objectifs clairs rôle voulons avoir sein alliance stratégie devrait être largement publicisée débattue parlement afin développer culture otan chez décideurs politiques public souhaite également changement posture l’alliance perçue vécue france comme alliance objectif moyen terme renforcer crédibilité france sein l’otan renforcer crédibilité france préconise d’augmenter l’effort défense allant vers pib l’horizon s’impliquer davantage organes activités l’otan compris exercices militaires paraît important d’écouter davantage besoins attentes partenaires maximiser réception idées françaises enfin suggère également l’intégration france groupe plans nucléaires npg constituerait choc confiance alliés parachevant ainsi retour france l’otan objectif long terme préparer avenir incertain créant pilier européen l’otan face l’incertitude garantie sécurité états-unis possible retour donald trump présidence pivotement intérêts américains vers l’asie souligne l’importance préparer france assumer responsabilités vis-à-vis alliés européens si l’implication américaine europe devait diminuer france première puissance militaire continent seul membre l’ue doté l’arme nucléaire première ligne cadre plaide travailler dès maintenant construction d’un pilier européen l’otan indispensable l’autonomie stratégique européenne car l’interopérabilité entre armées européennes fait continuera faire sein l’otan recommandations recommandation générale investir développer culture otan temps long service d’une stratégie française sein l’otan but défendre intérêts compris l’autonomie stratégique européenne recommandation rédiger stratégie française mesure définir vision française l’otan objectifs tout montrant implication appropriation l’alliance recommandation prioriser combats mener nom l’autonomie stratégique européenne plutôt d’avoir réflexe systématique l’invoquer partout décrédibilise efforts promouvoir potentiel européen recommandation fonction objectifs définis stratégie susmentionnée mettre place indicateurs destination acteurs français impliqués l’otan nombre postes détenus français d’exercices auxquels france participe marchés proposés sein l’otan etc recommandation assurer publicité stratégie française l’otan auprès armées diplomates plus largement l’ensemble ministères associant parlement via débat recommandation investir davantage instances parlementaires connexes délégation française l’assemblée parlementaire l’otan collège l’otan présence budget etc recommandation renforcer effectifs pays tels roumanie l’estonie afin montrer solidarité vis-à-vis alliés ainsi présence exercices missions l’otan celle-ci pourrait traduire déploiement sein d’une nouvelle mission flanc sud fait d’être deuxième fois nation-cadre environnement tel cyber recommandation envisager effort supplémentaire matière dépenses défense atteindre pib l’horizon tout préservant mobilisés l’innovation recherche recommandation être exemplaire soutien l’ukraine d’abord renforçant l’information soutien militaire apporté france destination l’opinion publique française étrangère notamment mise valeur celui-ci médias particulier internet recommandation sensibiliser opinions publiques grâce publication podcasts langue française l’enseignement l’otan lycée établissements d’enseignement supérieur encore formation correspondants défense communes françaises via kit lettre d’information annuelle recommandation accroître implication organes activités l’alliance commencer commandement alliés opérations aco recommandation favoriser mise place contributions nationales volontaires sein administration afin créer acculturation l’otan aval recommandation créer choc confiance intégrant groupe plans nucléaires npg recommandation préciser systématiquement périmètre mission direction générale l’armement dga l’assortir d’indicateurs cohérence stratégie choisie recommandation renforcer bitd européenne grâce industries défense européennes base conclusions rapport thiériot larsonneur recommandation bâtir renforcer pilier européen l’otan avant mettre service l’autonomie stratégique européenne lire communiqué presse lire tribune ans l’alliance atlantique vote évaluation l'article","Présentation du rapport de la mission sur le rôle et l’influence de la France dans l’OTAN"
"lors l’audition ministre sébastien lecornu défense globale l’ai interrogé notamment résilience jeunesse deux actions snu service national universel l’évolution jdc journée défense citoyenneté j’ai notamment insisté mise oeuvre jdc l’étranger jeunes compatriotes résident coins monde question sébastien lecornu a confirmé volonté d’une évolution particulier contenu jdc aussi déploiement l’étranger l’étranger part entière doivent être pleinement intégrés jdc réaliser obligations défense réponse ministre votes évaluation l'article","Question au Ministre de la Défense sur la résilience de la jeunesse française"
"pénurie matières premières embargo inflation crise énergétique l’invassion russe d’une partie l’ukraine a engendré bouleversement stratégique répercute bien au-delà frontières conflit france bouleversement a montré nécessité disposer d’un potentiel militaire puissant capable tenir durée contexte a fait dire président république juin eurosatory salon mondial défense sécurité désormais économie guerre laquelle allons devoir durablement organiser mots emmanuel macron fixait objectif clair ministère armées nation doit être capable réagir cas d’implication conflit haute intensité annonce alors précédé lancement chantier transformation base industrielle technologique défense bitd accélérer passage france économie guerre particulier s’agissant réduction drastique délais production retrouver souveraineté secteurs stratégiques volonté politique s’est vue renouvelée avril dernier lorsque accompagné ministre l’économie finances souveraineté industrielle numérique ainsi ministre armées président république a visité l’usine eurenco située bergerac a présidé séance travail consacrée l’économie guerre dirigeants d’industries l’armement partis installer durablement changement géopolitique géostratégique où industries défense vont avoir rôle croissant a estimé chef l’état présence d’industriels défense qu’il exhorte accélérer passer économie guerre afin continuer soutenir activement l’ukraine face russie processus temps long rappel l’économie guerre vise produire plus vite domaines où demande forte plus grandes quantités modèle d’armée s’appuie base industrielle technologique défense souveraine autonome exportatrice alors guerre d’agression russe contre l’ukraine poursuit souveraineté matière défense constitue pierre angulaire sécurité nationale européenne chef l’état appelait discours cherbourg janvier accélérer réponses besoins armées partenaires saisir opportunités feront france leader européen matière s’agit-là changement paradigme majeur l’industrie défense rapport trente dernières années fin guerre froide armées essentiellement mobilisées opérations maintien paix lutte anti-terroriste contexte direction générale l’armement dga a privilégié réponse besoin exprimé l’état-major armées armées besoin portait équipements haute technologie fabriqués petites séries production alors passée logique flux entraînant baisse stocks particulier munitions matières premières députés jean-louis thiériot lr patricia miralles majorité présidentielle s’inquiétaient déjà situation rapport d’information préparation haute intensité présenté février indispensable reconstituer stocks munitions pièces permettre entraînement haute intensité pouvait-on alors lire estimant besoin financier complémentaire six milliards d’euros loi programmation militaire plus globalement texte recommandait d’adapter l’offre l’outil production l’orienter vers logique masse stocks seule capable donner armées moyens faire face conflit d’envergure hasard calendrier semaine après publication rapport déclenchement conflit russo-ukrainien venu confirmer inquiétudes mettant exergue évidence faut plus temps produire matériels qu’il n’en faut utiliser voir rapport d’information février préparation haute intensité changement paradigme fait émerger mesures fortes concrètes dont effets font déjà ressentir s’agissant notamment l’engagement l’état dès rééquiper armées françaises première lpm hauteur d’homme hauteur stratégique mesures normatives accélération commandes passées industriels travail réquisitions cas besoin d’accélération cadence réduction délais production imposer stocks minimaux faire jouer droit priorisation procéder réquisitions dernier recours faire plus plus vite accélérer production simplifier notamment création direction l’industrie défense relocalisations conforter socle souveraineté d’indépendance française européenne résilience bitd efforts ressources humaines accompagnement métiers tension réflexion rémunération salariés bitd création réserves d’industrie défense coopération internationale l’ukraine soutenir alliés partenaires chiffres investissements massifs secteur défense première pierre posée chef l’état site d’eurenco leader européen poudres explosifs doit concrétiser l’ouverture début d’une nouvelle usine poudre indispensable propulsion d’obus capable produire tonnes poudre an site bergerac produisait depuis démantelé faute commandes suffisantes demande commencé augmenter avant déclenchement guerre ukraine conflit a accélérateur croissance groupe selon pdg thierry francou a cherbourg chef l’état dénoncé forme d’engourdissement satisfait l’industrie défense avant l’invasion l’ukraine peut laisser russie penser qu’elle peut gagner victoire russe c’est fin sécurité européenne ainsi depuis juin france a passé commande milliards d’euros d’équipements militaires tiers plus années précédentes commandes export s’accumulent paris attend notamment livraison missiles antichar mmp obus missiles antiaériens mistral mica-ng aster répondre industriels s’efforcent d’accélérer knds france a vu production canons caesar tripler réduite trente quinze mois tandis mbda doit augmenter cadence missiles aster d’ici rythme insuffisant selon ministre armées février chancelier allemand olaf scholz a aussi appelé production d’armements grande échelle europe alimenter l’ukraine notamment grâce l’usine d’obus rheinmetall afin produire obus d’artillerie an contre année avant l’invasion russe signal d’alarme pouvons soutenir effet malgré milliards d’euros d’armes livrées pays l’union européenne l’ukraine depuis début l’invasion russe ceux-ci encore loin d’avoir atteint capacité suffisante soutenir durablement pays reconstituer propres stocks france tête savoir plus industrie militaire armée économie guerre votes évaluation l'article","L’amorce d’une économie de guerre"
"contexte où relations entre puissances tendent marquant ainsi retour période confrontation où guerre hybride émerge caractérisée multiplication cyberattaques l’espionnage vol propriété intellectuelle manipulation l’information désinformation péril représentent démocraties européennes interventions étrangères qu’elles proviennent d’états étrangers d’entités étrangères diverses proxys réseaux criminels devenu préoccupation majeure c’est pourquoi l’assemblée nationale a adopté mercredi mars proposition loi renaissance visant lutter contre ingérences étrangères lutter contre ingérences nécessité manœuvres d’ingérence agressives menées états animés intentions bienveillantes premier lieu russie plus plus affirmées sociétés démocratiques européennes incarnant principes valeurs souvent peu respectés voire rejetés régimes autoritaires dictatoriaux particulièrement visées liberté d’opinion d’expression pluralisme liberté presse libertés académiques fondamentales bon fonctionnement démocraties créent espace liberté légalité précieux exposent également opportunités vulnérabilités menaces déstabilisation agressions c’est regard enjeux renaissance a proposé fait voter loi visant lutter contre ingérences étrangères mêlant création d’un registre national l’influence possibilité geler avoirs financiers extension controversée d’un dispositif surveillance algorithmique propose texte proposition loi visant lutter contre ingérences part constat dressé rapporteure constance grip commission d’enquête ingérences étrangères dont j’étais vice-présidente délégation parlementaire renseignement existe aujourd’hui risque réel menaces étrangères celui-ci s’amplifie menaces d’origines diverses russe chinoise bien sûr également iranienne encore turque différentes méthodes déstabilisation démocraties manipulation l’information fausses informations cyberattaques aussi prédation économique entreprises savoirs universitaires statut grande puissance france l’expose agressions tentatives déstabilisations protéiformes émanant l’étranger outils existent aujourd’hui contrer bien qu’efficaces demeurent parfois insuffisants regard l’intensification menace font peser ingérences étrangères l’exercice souveraineté nationale proposons d’intervenir trois manières d’abord connaissant mieux collectivement ingérences proposition loi prévoit remise gouvernement avant juillet puis tous deux ans d’un rapport annuel parlement l’état menaces pèsent sécurité nationale notamment menaces résultant d’ingérences étrangères effet important d’habituer tout l’environnement représentants nation mieux connaître quoi exposés base rapport remis services renseignement s’agit ensuite pouvoir connaître influences pouvoir réduire grâce fichier regroupant toutes personnes exercent influence france compte d’une puissance étrangère gestion nouveau répertoire confiée lahaute autorité transparence vie publique hatvp ainsi toute personne peu importe nationalité promeut intérêts d’une puissance étrangère hors union européenne auprès pouvoirs publics français grand public soumise obligation déclarative enfin cas non-soumission obligation texte prévoit sanction pénale suffisamment forte allant jusqu’à ans prison d’amende a s’ajoute l’article clé texte prévoit d’élargir dispositif surveillance algorithmique lancé destiné repérer données connexions internet aujourd’hui circonscrit lutte antiterroriste efficacité mitigée plus efficace détecter protocoles suivis agents d’ingérence texte prévoit également expérimentation quatre ans durant laquelle services pourraient appliquer algorithmes surveillance lutte contre ingérences sénat doit encore examiner proposition loi séance publique mai attendant salue l’adoption proposition l’assemblée encadrer prévention ingérences étrangères voie légale constitue riposte démocratique nécessaire face attaques hybrides croissantes menées puissances étrangères france savoir plus lutte contre ingérences étrangères l’échelle européenne votes évaluation l'article","Une Loi pour lutter contre les ingérences étrangères"
"fière informer l’assemblée nationale a adopté définitivement proposition loi visant soutenir l’engagement bénévole simplifier quotidien associations loi saluée nombreux élus acteurs secteur associatif promet revitaliser tissu associatif local d’encourager davantage français s’impliquer bénévolat bénévolat cœur cohésion sociale associations l’âme villes villages favorisant cohésion sociale dynamisme territoires elles permettent millions concitoyens s’engager chaque année activité bénévolat afin soutenir causes chères projets service collectivité bénévolat essentiel pérennité associations caritatives culturelles sportives d’entre elles peuvent fonctionner qu’avec concours bénévoles concitoyens empreints désir d’être utiles engagement bénévole a évolué désormais plus ponctuel gré disponibilités entre vie professionnelle personnelle m’avez fait part également difficulté renouveler dirigeants associatifs pouvant remettre cause continuité associations soutien accru bénévolat mécénat compétences réponse besoins exprimés associations mécénat compétences désormais accessible entreprises comptant moins salariés possibilités d’engagement allant jusqu’à trois ans mesure facilite l’implication salariés permettant meilleure adaptation entre vie professionnelle désir d’apporter contribution significative société complément l’assouplissement conditions congés d’engagement associatif citoyenneté salariés fonctionnaires renforce dynamique favorisant participation plus active sein associations nouveaux avantages bénévoles nouvelle loi reconnaît également l’importance formation bénévoles dès première année d’existence l’association bénévoles bénéficieront droits formation via compte d’engagement citoyen associations pourront abonder compte professionnel formation membres initiative vise équiper bénévoles compétences nécessaires mieux servir missions développement personnel ailleurs bénévoles manquent temps engagements actifs peuvent désormais contribuer cause préférée faisant don jours repos non pris offrant ainsi soutien financier associations simplification administrative soutien continu associations plan administratif loi introduit plusieurs simplifications allégeront fardeau bureaucratique pesant associations conditions prêt entre associations conventions trésorerie désormais plus souples facilitant gestion financière sein groupes associatifs communes également pouvoir d’accorder autorisations d’occupation temporaire l’espace public gratuitement d’exonérer associations taxe d’habitation soutenir quotidien responsables associatifs réseau guid’asso a pérennisé offrant service essentiel d’orientation d’accompagnement aide associations naviguer défis quotidiens maximiser impact mesures reflètent l’engagement l’assemblée nationale renforcer tissu associatif français soutenant millions bénévoles facilitant gestion associations cœur cohésion sociale dynamisme territoires vote évaluation l'article","Soutenir l’engagement bénévole"
"a l’occasion anniversaire l’otan publie journal tribune l’otan a ans l’âge résilience démocratique l’otan alliance militaire surtout union politique celle démocraties libérales plus jamais alliance revêt importance cruciale france l’europe anniversaire l’otan rappelle engagement commun droit peuples disposer d’eux-mêmes libertés individuelles primauté droit face l’invasion l’ukraine russie tentatives d’ingérence démocraties propose soutenir création d’un centre l’otan résilience démocratique centre pilier défendre valeurs communes renforcer capacité collective faire face menaces savoir plus votes évaluation l'article","L’OTAN a 75 ans, l’âge de la résilience démocratique"
